#,Name,difficulty,link,number,class
1804H,"Code Lock bitmasks,  dp",,https://codeforces.com/problemset/problem/1804/H,1804,H
1804G,"Flow Control data structures,  implementation",,https://codeforces.com/problemset/problem/1804/G,1804,G
1804F,"Approximate Diameter binary search,  divide and conquer,  graphs,  shortest paths",,https://codeforces.com/problemset/problem/1804/F,1804,F
1804E,"Routing bitmasks,  brute force,  dp,  graphs",,https://codeforces.com/problemset/problem/1804/E,1804,E
1804D,"Accommodation dp,  greedy",,https://codeforces.com/problemset/problem/1804/D,1804,D
1804C,"Pull Your Luck brute force,  greedy,  math,  number theory",,https://codeforces.com/problemset/problem/1804/C,1804,C
1804B,"Vaccination greedy,  implementation,  two pointers",,https://codeforces.com/problemset/problem/1804/B,1804,B
1804A,"Lame King greedy,  math",,https://codeforces.com/problemset/problem/1804/A,1804,A
1802B,"Settlement of Guinea Pigs greedy,  implementation,  math",,https://codeforces.com/problemset/problem/1802/B,1802,B
1802A,"Likes greedy,  implementation",,https://codeforces.com/problemset/problem/1802/A,1802,A
1801G,"A task for substrings data structures,  string suffix structures,  strings",,https://codeforces.com/problemset/problem/1801/G,1801,G
1801F,"Another n-dimensional chocolate bar dp,  math,  number theory",,https://codeforces.com/problemset/problem/1801/F,1801,F
1801E,"Gasoline prices data structures,  divide and conquer,  dsu,  hashing,  trees",,https://codeforces.com/problemset/problem/1801/E,1801,E
1801D,"The way home dp,  graphs,  greedy,  shortest paths,  sortings",,https://codeforces.com/problemset/problem/1801/D,1801,D
1801C,"Music Festival binary search,  data structures,  dp,  greedy,  sortings",,https://codeforces.com/problemset/problem/1801/C,1801,C
1801B,"Buying gifts data structures,  greedy,  sortings",,https://codeforces.com/problemset/problem/1801/B,1801,B
1801A,"The Very Beautiful Blanket bitmasks,  constructive algorithms",,https://codeforces.com/problemset/problem/1801/A,1801,A
1800G,"Symmetree dfs and similar,  hashing,  implementation,  trees",,https://codeforces.com/problemset/problem/1800/G,1800,G
1800F,"Dasha and Nightmares bitmasks,  hashing,  meet-in-the-middle,  strings",,https://codeforces.com/problemset/problem/1800/F,1800,F
1800E2,"Unforgivable Curse (hard version) brute force,  constructive algorithms,  dfs and similar,  dsu,  graphs,  greedy,  strings",,https://codeforces.com/problemset/problem/1800/E2,1800,E2
1800E1,"Unforgivable Curse (easy version) brute force,  constructive algorithms,  dsu,  graphs,  greedy,  strings",,https://codeforces.com/problemset/problem/1800/E1,1800,E1
1800D,"Remove Two Letters data structures,  greedy,  hashing,  strings",,https://codeforces.com/problemset/problem/1800/D,1800,D
1800C2,"Powering the Hero (hard version) data structures,  greedy",,https://codeforces.com/problemset/problem/1800/C2,1800,C2
1800C1,"Powering the Hero (easy version) data structures,  greedy",,https://codeforces.com/problemset/problem/1800/C1,1800,C1
1800B,"Count the Number of Pairs greedy,  strings",,https://codeforces.com/problemset/problem/1800/B,1800,B
1800A,"Is It a Cat? implementation,  strings",,https://codeforces.com/problemset/problem/1800/A,1800,A
1799H,"Tree Cutting bitmasks,  dfs and similar,  dp",,https://codeforces.com/problemset/problem/1799/H,1799,H
1799G,"Count Voting combinatorics,  dp,  math",,https://codeforces.com/problemset/problem/1799/G,1799,G
1799F,"Halve or Subtract binary search,  brute force,  dp,  greedy,  sortings",,https://codeforces.com/problemset/problem/1799/F,1799,F
1799E,"City Union constructive algorithms,  dfs and similar,  dsu,  geometry,  greedy,  implementation,  math",,https://codeforces.com/problemset/problem/1799/E,1799,E
1799D2,"Hot Start Up (hard version) data structures,  dp",,https://codeforces.com/problemset/problem/1799/D2,1799,D2
1799D1,Hot Start Up (easy version) dp,,https://codeforces.com/problemset/problem/1799/D1,1799,D1
1799C,"Double Lexicographically Minimum greedy,  strings",,https://codeforces.com/problemset/problem/1799/C,1799,C
1799B,"Equalize by Divide brute force,  constructive algorithms,  greedy,  math",,https://codeforces.com/problemset/problem/1799/B,1799,B
1799A,"Recent Actions data structures,  greedy,  implementation,  math",,https://codeforces.com/problemset/problem/1799/A,1799,A
1796F,"Strange Triples brute force,  math,  number theory",2900.0,https://codeforces.com/problemset/problem/1796/F,1796,F
1796E,"Colored Subgraphs dfs and similar,  dp,  games,  greedy,  trees",2500.0,https://codeforces.com/problemset/problem/1796/E,1796,E
1796D,"Maximum Subarray data structures,  dp,  greedy,  two pointers",2000.0,https://codeforces.com/problemset/problem/1796/D,1796,D
1796C,"Maximum Set binary search,  math",1600.0,https://codeforces.com/problemset/problem/1796/C,1796,C
1796B,"Asterisk-Minor Template implementation,  strings",1000.0,https://codeforces.com/problemset/problem/1796/B,1796,B
1796A,"Typical Interview Problem brute force,  implementation,  strings",800.0,https://codeforces.com/problemset/problem/1796/A,1796,A
1795G,"Removal Sequences bitmasks,  dfs and similar,  graphs",2700.0,https://codeforces.com/problemset/problem/1795/G,1795,G
1795F,"Blocking Chips binary search,  constructive algorithms,  dfs and similar,  greedy,  trees",2400.0,https://codeforces.com/problemset/problem/1795/F,1795,F
1795E,"Explosions? binary search,  data structures,  dp,  greedy,  math",2200.0,https://codeforces.com/problemset/problem/1795/E,1795,E
1795D,"Triangle Coloring combinatorics,  math",1600.0,https://codeforces.com/problemset/problem/1795/D,1795,D
1795C,"Tea Tasting binary search,  data structures,  implementation",1500.0,https://codeforces.com/problemset/problem/1795/C,1795,C
1795B,"Ideal Point brute force,  geometry,  greedy",900.0,https://codeforces.com/problemset/problem/1795/B,1795,B
1795A,"Two Towers brute force,  implementation,  strings",800.0,https://codeforces.com/problemset/problem/1795/A,1795,A
1794E,"Labeling the Tree with Distances data structures,  dp,  greedy,  hashing,  implementation,  trees",,https://codeforces.com/problemset/problem/1794/E,1794,E
1794D,"Counting Factorizations combinatorics,  divide and conquer,  dp,  math,  number theory",,https://codeforces.com/problemset/problem/1794/D,1794,D
1794C,"Scoring Subsequences binary search,  greedy,  math,  two pointers",,https://codeforces.com/problemset/problem/1794/C,1794,C
1794B,"Not Dividing constructive algorithms,  greedy,  math",,https://codeforces.com/problemset/problem/1794/B,1794,B
1794A,Prefix and Suffix Array strings,,https://codeforces.com/problemset/problem/1794/A,1794,A
1793F,"Rebrending brute force,  data structures,  divide and conquer,  implementation",2600.0,https://codeforces.com/problemset/problem/1793/F,1793,F
1793E,"Velepin and Marketing binary search,  data structures,  dp,  greedy,  sortings,  two pointers",2600.0,https://codeforces.com/problemset/problem/1793/E,1793,E
1793D,"Moscow Gorillas binary search,  dp,  greedy,  implementation,  math,  two pointers",1800.0,https://codeforces.com/problemset/problem/1793/D,1793,D
1793C,"Dora and Search constructive algorithms,  data structures,  two pointers",1200.0,https://codeforces.com/problemset/problem/1793/C,1793,C
1793B,"Fedya and Array constructive algorithms,  math",1100.0,https://codeforces.com/problemset/problem/1793/B,1793,B
1793A,"Yet Another Promotion greedy,  math",800.0,https://codeforces.com/problemset/problem/1793/A,1793,A
1792F2,"Graph Coloring (hard version) brute force,  combinatorics,  divide and conquer,  dp,  fft,  graphs",2900.0,https://codeforces.com/problemset/problem/1792/F2,1792,F2
1792F1,"Graph Coloring (easy version) combinatorics,  dp,  graphs",2700.0,https://codeforces.com/problemset/problem/1792/F1,1792,F1
1792E,"Divisors and Table brute force,  dfs and similar,  dp,  number theory",2400.0,https://codeforces.com/problemset/problem/1792/E,1792,E
1792D,"Fixed Prefix Permutations binary search,  bitmasks,  data structures,  hashing,  math,  sortings",1700.0,https://codeforces.com/problemset/problem/1792/D,1792,D
1792C,"Min Max Sort binary search,  brute force,  greedy,  math,  two pointers",1500.0,https://codeforces.com/problemset/problem/1792/C,1792,C
1792B,"Stand-up Comedian greedy,  math",1200.0,https://codeforces.com/problemset/problem/1792/B,1792,B
1792A,"GamingForces greedy,  sortings",800.0,https://codeforces.com/problemset/problem/1792/A,1792,A
1791G2,"Teleporters (Hard Version) binary search,  greedy,  sortings",1900.0,https://codeforces.com/problemset/problem/1791/G2,1791,G2
1791G1,"Teleporters (Easy Version) greedy,  sortings",1100.0,https://codeforces.com/problemset/problem/1791/G1,1791,G1
1791F,"Range Update Point Query binary search,  brute force,  data structures",1500.0,https://codeforces.com/problemset/problem/1791/F,1791,F
1791E,"Negatives and Positives dp,  greedy,  sortings",1100.0,https://codeforces.com/problemset/problem/1791/E,1791,E
1791D,"Distinct Split brute force,  greedy,  strings",1000.0,https://codeforces.com/problemset/problem/1791/D,1791,D
1791C,"Prepend and Append implementation,  two pointers",800.0,https://codeforces.com/problemset/problem/1791/C,1791,C
1791B,"Following Directions geometry,  implementation",800.0,https://codeforces.com/problemset/problem/1791/B,1791,B
1791A,"Codeforces Checking implementation,  strings",800.0,https://codeforces.com/problemset/problem/1791/A,1791,A
1790G,"Tokens on Graph constructive algorithms,  dfs and similar,  graphs,  shortest paths",2300.0,https://codeforces.com/problemset/problem/1790/G,1790,G
1790F,"Timofey and Black-White Tree brute force,  dfs and similar,  divide and conquer,  graphs,  greedy,  math,  shortest paths,  trees",2100.0,https://codeforces.com/problemset/problem/1790/F,1790,F
1790E,"Vlad and a Pair of Numbers bitmasks,  constructive algorithms",1400.0,https://codeforces.com/problemset/problem/1790/E,1790,E
1790D,"Matryoshkas data structures,  greedy,  sortings",1200.0,https://codeforces.com/problemset/problem/1790/D,1790,D
1790C,"Premutation brute force,  implementation,  math",1000.0,https://codeforces.com/problemset/problem/1790/C,1790,C
1790B,"Taisia and Dice greedy,  greedy,  math",800.0,https://codeforces.com/problemset/problem/1790/B,1790,B
1790A,"Polycarp and the Day of Pi implementation,  math,  strings",800.0,https://codeforces.com/problemset/problem/1790/A,1790,A
1789F,"Serval and Brain Power bitmasks,  brute force,  dp,  greedy,  implementation,  strings",2700.0,https://codeforces.com/problemset/problem/1789/F,1789,F
1789E,"Serval and Music Game brute force,  dp,  implementation,  math,  number theory",2500.0,https://codeforces.com/problemset/problem/1789/E,1789,E
1789D,"Serval and Shift-Shift-Shift bitmasks,  brute force,  constructive algorithms,  implementation",2200.0,https://codeforces.com/problemset/problem/1789/D,1789,D
1789C,"Serval and Toxel's Arrays combinatorics,  dp,  implementation,  math",1500.0,https://codeforces.com/problemset/problem/1789/C,1789,C
1789B,"Serval and Inversion Magic brute force,  implementation,  strings,  two pointers",800.0,https://codeforces.com/problemset/problem/1789/B,1789,B
1789A,"Serval and Mocha's Array brute force,  math,  number theory",800.0,https://codeforces.com/problemset/problem/1789/A,1789,A
1788F,"XOR, Tree, and Queries bitmasks,  constructive algorithms,  dfs and similar,  dsu,  graphs,  greedy,  implementation,  trees",2500.0,https://codeforces.com/problemset/problem/1788/F,1788,F
1788E,"Sum Over Zero data structures,  dfs and similar,  dp",2200.0,https://codeforces.com/problemset/problem/1788/E,1788,E
1788D,"Moving Dots binary search,  brute force,  combinatorics,  math,  two pointers",2000.0,https://codeforces.com/problemset/problem/1788/D,1788,D
1788C,"Matching Numbers constructive algorithms,  greedy,  math",1300.0,https://codeforces.com/problemset/problem/1788/C,1788,C
1788B,"Sum of Two Numbers constructive algorithms,  greedy,  implementation,  math,  probabilities",1100.0,https://codeforces.com/problemset/problem/1788/B,1788,B
1788A,"One and Two brute force,  implementation,  math",800.0,https://codeforces.com/problemset/problem/1788/A,1788,A
1787I,"Treasure Hunt data structures,  divide and conquer,  two pointers",3400.0,https://codeforces.com/problemset/problem/1787/I,1787,I
1787H,"Codeforces Scoreboard binary search,  data structures,  dp,  geometry",3300.0,https://codeforces.com/problemset/problem/1787/H,1787,H
1787G,"Colorful Tree Again brute force,  data structures,  trees",3000.0,https://codeforces.com/problemset/problem/1787/G,1787,G
1787F,"Inverse Transformation constructive algorithms,  implementation,  math",2500.0,https://codeforces.com/problemset/problem/1787/F,1787,F
1787E,"The Harmonization of XOR bitmasks,  constructive algorithms,  greedy,  math",2100.0,https://codeforces.com/problemset/problem/1787/E,1787,E
1787D,"Game on Axis combinatorics,  dfs and similar,  dsu,  graphs,  implementation",1900.0,https://codeforces.com/problemset/problem/1787/D,1787,D
1787C,"Remove the Bracket dp,  greedy,  math",1600.0,https://codeforces.com/problemset/problem/1787/C,1787,C
1787B,"Number Factorization greedy,  math,  number theory",1100.0,https://codeforces.com/problemset/problem/1787/B,1787,B
1787A,"Exponential Equation constructive algorithms,  math",800.0,https://codeforces.com/problemset/problem/1787/A,1787,A
1786B,"Cake Assembly Line brute force,  sortings",1300.0,https://codeforces.com/problemset/problem/1786/B,1786,B
1786A2,Alternating Deck (hard version) implementation,800.0,https://codeforces.com/problemset/problem/1786/A2,1786,A2
1786A1,Non-alternating Deck (easy version) implementation,800.0,https://codeforces.com/problemset/problem/1786/A1,1786,A1
1784F,Minimums or Medians,3400.0,https://codeforces.com/problemset/problem/1784/F,1784,F
1784E,"Infinite Game brute force,  combinatorics,  dp,  games,  probabilities",3100.0,https://codeforces.com/problemset/problem/1784/E,1784,E
1784D,"Wooden Spoon combinatorics,  dp",2400.0,https://codeforces.com/problemset/problem/1784/D,1784,D
1784C,"Monsters (hard version) data structures,  greedy",2200.0,https://codeforces.com/problemset/problem/1784/C,1784,C
1784B,Letter Exchange constructive algorithms,1900.0,https://codeforces.com/problemset/problem/1784/B,1784,B
1784A,"Monsters (easy version) brute force,  greedy",1000.0,https://codeforces.com/problemset/problem/1784/A,1784,A
1783G,"Weighed Tree Radius data structures,  divide and conquer,  implementation,  trees",2800.0,https://codeforces.com/problemset/problem/1783/G,1783,G
1783F,"Double Sort II dfs and similar,  flows,  graph matchings,  graphs",2500.0,https://codeforces.com/problemset/problem/1783/F,1783,F
1783E,"Game of the Year brute force,  data structures,  math,  number theory",2300.0,https://codeforces.com/problemset/problem/1783/E,1783,E
1783D,"Different Arrays brute force,  dp,  implementation",2000.0,https://codeforces.com/problemset/problem/1783/D,1783,D
1783C,"Yet Another Tournament binary search,  greedy,  sortings",1700.0,https://codeforces.com/problemset/problem/1783/C,1783,C
1783B,"Matrix of Differences constructive algorithms,  math",1100.0,https://codeforces.com/problemset/problem/1783/B,1783,B
1783A,"Make it Beautiful constructive algorithms,  math,  sortings",800.0,https://codeforces.com/problemset/problem/1783/A,1783,A
1781H2,Window Signals (hard version),3500.0,https://codeforces.com/problemset/problem/1781/H2,1781,H2
1781H1,Window Signals (easy version),3200.0,https://codeforces.com/problemset/problem/1781/H1,1781,H1
1781G,"Diverse Coloring constructive algorithms,  trees",3200.0,https://codeforces.com/problemset/problem/1781/G,1781,G
1781F,"Bracket Insertion combinatorics,  dp,  math,  trees",2700.0,https://codeforces.com/problemset/problem/1781/F,1781,F
1781E,"Rectangle Shrinking binary search,  brute force,  data structures,  greedy,  implementation,  two pointers",2300.0,https://codeforces.com/problemset/problem/1781/E,1781,E
1781D,"Many Perfect Squares brute force,  math,  number theory",1800.0,https://codeforces.com/problemset/problem/1781/D,1781,D
1781C,"Equal Frequencies brute force,  constructive algorithms,  greedy,  implementation,  sortings,  strings",1600.0,https://codeforces.com/problemset/problem/1781/C,1781,C
1781B,"Going to the Cinema brute force,  greedy,  sortings",1000.0,https://codeforces.com/problemset/problem/1781/B,1781,B
1781A,"Parallel Projection geometry,  math",800.0,https://codeforces.com/problemset/problem/1781/A,1781,A
1780G,"Delicious Dessert binary search,  dsu,  hashing,  math,  number theory,  string suffix structures",2400.0,https://codeforces.com/problemset/problem/1780/G,1780,G
1780F,"Three Chairs bitmasks,  brute force,  combinatorics,  data structures,  dp,  number theory,  sortings",2300.0,https://codeforces.com/problemset/problem/1780/F,1780,F
1780E,"Josuke and Complete Graph binary search,  brute force,  data structures,  math,  number theory",2400.0,https://codeforces.com/problemset/problem/1780/E,1780,E
1780D,"Bit Guessing Game binary search,  bitmasks,  constructive algorithms,  interactive",1800.0,https://codeforces.com/problemset/problem/1780/D,1780,D
1780B,"GCD Partition brute force,  greedy,  math,  number theory",1100.0,https://codeforces.com/problemset/problem/1780/B,1780,B
1780A,"Hayato and School constructive algorithms,  greedy",800.0,https://codeforces.com/problemset/problem/1780/A,1780,A
1779H,"Olympic Team Building brute force,  meet-in-the-middle",3500.0,https://codeforces.com/problemset/problem/1779/H,1779,H
1779G,"The Game of the Century constructive algorithms,  graphs,  shortest paths",3000.0,https://codeforces.com/problemset/problem/1779/G,1779,G
1779F,"Xorcerer's Stones bitmasks,  constructive algorithms,  dp,  trees",2500.0,https://codeforces.com/problemset/problem/1779/F,1779,F
1779E,"Anya's Simultaneous Exhibition constructive algorithms,  graphs,  greedy,  interactive,  sortings",2400.0,https://codeforces.com/problemset/problem/1779/E,1779,E
1779D,"Boris and His Amazing Haircut constructive algorithms,  data structures,  dp,  dsu,  greedy,  sortings",1700.0,https://codeforces.com/problemset/problem/1779/D,1779,D
1779C,"Least Prefix Sum data structures,  greedy",1600.0,https://codeforces.com/problemset/problem/1779/C,1779,C
1779B,"MKnez's ConstructiveForces Task constructive algorithms,  math",900.0,https://codeforces.com/problemset/problem/1779/B,1779,B
1779A,"Hall of Fame constructive algorithms,  greedy,  strings",800.0,https://codeforces.com/problemset/problem/1779/A,1779,A
